騎手,win_rate,rentai_rate
木幡巧也,0.04067796610169491,0.09830508474576272
丸山元気,0.04809619238476954,0.11422845691382766
小沢大仁,0.04195804195804196,0.08216783216783216
石橋脩,0.04583333333333333,0.11041666666666666
松岡正海,0.04680851063829787,0.08723404255319149
騎手名,0.0,0.0
Ｂ．ムルザバエフ,0.13636363636363635,0.24025974025974026
長浜鴻緒,0.041304347826086954,0.1
横山典弘,0.06859205776173286,0.13357400722021662
柴田裕一郎,0.059190031152647975,0.09968847352024922
小林美駒,0.0695970695970696,0.11355311355311355
角田大和,0.04295942720763723,0.1026252983293556
角田大河,0.046511627906976744,0.10852713178294573
小牧加矢太,0.19148936170212766,0.32978723404255317
上野翔,0.1782178217821782,0.27722772277227725
松若風馬,0.041666666666666664,0.09803921568627451
亀田温心,0.05519480519480519,0.12337662337662338
杉原誠人,0.043037974683544304,0.08607594936708861
吉田隼人,0.0735930735930736,0.1341991341991342
内田博幸,0.03347280334728033,0.08368200836820083
Ａ．ルメートル,0.11188811188811189,0.23076923076923078
藤懸貴志,0.05194805194805195,0.10064935064935066
Ｒ．キング,0.11510791366906475,0.2014388489208633
北村宏司,0.04201680672268908,0.11764705882352941
丸田恭介,0.036585365853658534,0.07317073170731707
横山琉人,0.04559270516717325,0.0911854103343465
Ｔ．マーカンド,0.12962962962962962,0.25925925925925924
長岡禎仁,0.058577405857740586,0.11715481171548117
古川吉洋,0.02927927927927928,0.060810810810810814
秋山稔樹,0.03468208092485549,0.0953757225433526
富田暁,0.028169014084507043,0.06572769953051644
武藤雅,0.04054054054054054,0.0945945945945946
石神深一,0.1,0.225
森一馬,0.1518987341772152,0.31645569620253167
Ｒ．ムーア,0.16901408450704225,0.30985915492957744
黛弘人,0.030726256983240222,0.06983240223463687
国分恭介,0.04032258064516129,0.0967741935483871
川端海翼,0.03676470588235294,0.08823529411764706
小崎綾也,0.035842293906810034,0.07885304659498207
国分優作,0.03125,0.065625
高田潤,0.19607843137254902,0.27450980392156865
野中悠太郎,0.023872679045092837,0.06631299734748011
柴田善臣,0.04455445544554455,0.1188118811881188
水口優也,0.06428571428571428,0.11428571428571428
古川奈穂,0.04411764705882353,0.06862745098039216
松本大輝,0.04040404040404041,0.09090909090909091
柴田大知,0.0213903743315508,0.0427807486631016
伴啓太,0.08,0.16
Ａ．シュタルケ,0.08695652173913043,0.13043478260869565
中井裕二,0.04242424242424243,0.14545454545454545
河原田菜々,0.01907356948228883,0.05722070844686648
五十嵐雄祐,0.07,0.16
大江原圭,0.07526881720430108,0.17204301075268819
石田拓郎,0.02880658436213992,0.06172839506172839
江田照男,0.030042918454935622,0.05150214592274678
Ｗ．ビュイック,0.2916666666666667,0.375
騎手名,0.0,0.0
藤田菜七子,0.022388059701492536,0.07462686567164178
今村聖奈,0.03125,0.078125
Ｔ．オシェア,0.04477611940298507,0.1044776119402985
太宰啓介,0.030303030303030304,0.08484848484848485
川又賢治,0.04201680672268908,0.1092436974789916
Ｒ．キングスコート,0.07042253521126761,0.18309859154929578
嶋田純次,0.02857142857142857,0.06857142857142857
勝浦正樹,0.05319148936170213,0.1276595744680851
荻野琢真,0.034013605442176874,0.07482993197278912
江田勇亮,0.1111111111111111,0.13333333333333333
中村将之,0.046511627906976744,0.12790697674418605
大江原比呂,0.020202020202020204,0.05555555555555555
草野太郎,0.04819277108433735,0.13253012048192772
川須栄彦,0.01652892561983471,0.04132231404958678
Ｒ．ピーヒュレク,0.04597701149425287,0.11494252873563218
小坂忠士,0.11764705882352941,0.29411764705882354
Ｈ．ドイル,0.04597701149425287,0.10344827586206896
木幡育也,0.041237113402061855,0.08247422680412371
石神深道,0.016666666666666666,0.029166666666666667
黒岩悠,0.056338028169014086,0.09859154929577464
金子光希,0.13793103448275862,0.20689655172413793
木幡初也,0.03418803418803419,0.042735042735042736
小林凌大,0.015,0.06
泉谷楓真,0.016574585635359115,0.06077348066298342
田中健,0.02830188679245283,0.0660377358490566
水沼元輝,0.023255813953488372,0.03875968992248062
Ｌ．デットーリ,0.375,0.625
笹川翼,0.2,0.26666666666666666
秋山真一郎,0.06382978723404255,0.06382978723404255
川島信二,0.0967741935483871,0.0967741935483871
鮫島良太,0.023255813953488372,0.09302325581395349
高倉稜,0.015873015873015872,0.047619047619047616
西谷誠,0.1,0.3
小野寺祐太,0.02631578947368421,0.07894736842105263
田村太雅,0.06666666666666667,0.16666666666666666
佐藤翔馬,0.011235955056179775,0.02247191011235955
坂口智康,0.04878048780487805,0.0975609756097561
伊藤工真,0.02564102564102564,0.05128205128205128
Ｄ．レーン,0.08333333333333333,0.16666666666666666
Ｃ．ホー,0.13333333333333333,0.2
武士沢友治,0.041666666666666664,0.0625
宮崎北斗,0.0425531914893617,0.0425531914893617
Ｋ．ティータン,0.09090909090909091,0.09090909090909091
石川倭,0.15384615384615385,0.15384615384615385
鷲頭虎太,0.0051813471502590676,0.05699481865284974
小林脩斗,0.005847953216374269,0.05263157894736842
橋木太希,0.008695652173913044,0.06086956521739131
岩部純二,0.0072992700729927005,0.0364963503649635
加藤祥太,0.017241379310344827,0.08620689655172414
城戸義政,0.010309278350515464,0.030927835051546393
騎手名,0.0,0.0
難波剛健,0.03125,0.09375
井上敏樹,0.02127659574468085,0.0425531914893617
大庭和弥,0.07692307692307693,0.15384615384615385
Ｊ．マクドナルド,0.25,0.5
望月洵輝,0.5,1.0
菅原隆一,0.02702702702702703,0.02702702702702703
小牧太,0.027777777777777776,0.027777777777777776
渡辺竜也,0.14285714285714285,0.14285714285714285
室陽一朗,0.5,0.5
原田和真,0.0,0.022388059701492536
土田真翔,0.0,0.021505376344086023
Ｌ．モリス,0.0,0.06451612903225806
Ｃ．スミヨン,0.0,0.16666666666666666
森裕太朗,0.0,0.043478260869565216
桑村真明,0.0,0.09090909090909091
岡田祥嗣,0.0,0.0
岡部誠,0.0,0.0
的場勇人,0.0,0.0
和田翼,0.0,0.0
吉村智洋,0.0,0.0
森泰斗,0.0,0.0
岩橋勇二,0.0,0.0
蓑島靖典,0.0,0.0
御神本訓史,0.0,0.0
吉原寛人,0.0,0.0
Ｋ．リョン,0.0,0.0
西村太一,0.0,0.0
本田正重,0.0,0.0
Ｄ．サンチアゴ,0.0,0.0
落合玄太,0.0,0.0
大久保友雅,0.0,0.0
大塚海渡,0.0,0.0
及川烈,0.0,0.0
服部茂史,0.0,0.0
加藤翔馬,0.0,0.0
加藤和博,0.0,0.0
Ｍ．ミシェル,0.0,0.0
小野楓馬,0.0,0.0
長江慶悟,0.0,0.0
谷内貫太,0.0,0.0
鷹見陸,0.0,0.0
土方颯太,0.0,0.0
服部寿希,0.0,0.0
矢野貴之,0.0,0.0
和田譲治,0.0,0.0
Ｚ．パートン,0.0,0.0
石川慎将,0.0,0.0
鈴木祐,0.0,0.0
出水拓人,0.0,0.0
飛田愛斗,0.0,0.0
